"Keuangan - Pengajuan Bantuan Keuangan","Pengajuan Bantuan Keuangan dapat mengisi form pada sibaku.ub.ac.id"
"Keuangan - Pembayaran diluar Jadwal Registrasi","Pembayaran diluar jadwal registrasi memerlukan konfirmasi ke Bagian Keuangan terlebih dahulu melalui halofilkom.ub.ac.id untuk kami proses pembukaan Sistem Pembayaran, Silahkan mencantumkan Rencana tanggal dan nominal pembayaran disini saat akan membayar angsuran ke 2 dan 3. <br /><br />Terima Kasih"
"Kemahasiswaan- Surat Rekomendasi Beasiswa","Template surat keterangan dapat diunduh di <strong><a href=""https://filkom.ub.ac.id/profil/dokumen-resmi/"">https://filkom.ub.ac.id/profil/dokumen-resmi/</a></strong> Untuk <strong>Surat Keterangan dan Rekomendasi beasiswa</strong> wajib unggah dan mengisi informasi: <ul><li>Surat Keterangan/Rekomendasi yang sudah diisi dan ditandatangani (dapat unduh di <a href=""https://filkom.ub.ac.id/profil/dokumen-resmi/""><strong>https://filkom.ub.ac.id/profil/dokumen-resmi/</strong></a>)</li><li>Nama beasiswa yang akan diajukan</li><li>Sumber informasi beasiswa (cantumkan link informasi)</li></ul>"
"Akademik ; Bebas Pustaka UB","Terimakasih telah menghubungi halo filkom,<br />Surat bebas pustaka UB :<br /><a href=""https://lib.ub.ac.id/berita/panduan-pengurusan-bebas-pustaka-online/"">https://lib.ub.ac.id/berita/panduan-pengurusan-bebas-pustaka-online/</a> Terimakasih"
"Akademik _ Batas akhir pendaftaran semhas/ ujian skripsi","23 12 2021, pkl 23.59<br />Mahasiswa memastikan bahwa sudah mendaftar pada gform (<a href=""https://filkom.ub.ac.id/pendidikan/layanan-akademik/"">https://filkom.ub.ac.id/pendidikan/layanan-akademik/</a> poin no 15) dan filkom apps sesuai pada halaman penjadwalan filkom apps Terimakasih"
"Akademik_Bebas tanggungan Laboratorium FILKOM UB","Terimakasih telah menghubungi halo filkom,<br />Berikut kami kirimkan link pengumuman bebas laboratorium filkom UB :<a href=""https://filkom.ub.ac.id/2021/08/09/pengurusan-bebas-tanggungan-laboratorium-untuk-persyaratan-yudisium-sc2-18/""><br />https://filkom.ub.ac.id/2021/08/09/pengurusan-bebas-tanggungan-laboratorium-untuk-persyaratan-yudisium-sc2-18/</a> Terimakasih"
"Akademik_Form Pasca Ujian Skripsi","Terimakasih telah menghubungi halo filkom,<br />Ujian skripsi yg Anda laksanakan hari ini (28 12 2021) sudah diproses oleh majlis penguji :<br />- form sc2-12 dan sc2-13 sudah bisa didownload di akun masing2 mhs<br />-sc2-16 &amp; sc2-17 (ttd scr daring) bisa diakses/ download setelah mhs unggah dokumen akhir dan disetujui oleh dosen  Terimakasih"
"Akademik_ PKL / MBKM","Terimakasih telah menghubungi halo filkom,<br />Info magang bisa cek web merdeka-filkom.ub.ac.id atau web mbkm kemendikbud.<br />Prosedur PKL silahkan mencari tempat PKL terlebih dahulu kemudian mendaftar untuk diterbitkan surat pengantar melalui web filkom tab layanan akademik.<br />Secara prinsip mahasiswa semester 6 ke atas punya hak untuk ikut mbkm, mhs diharap memastikan terlebih dahulu MK wajib sudah selesai ditempuh Terimakasih"
"Keuangan - Yudisium","Saat ini sedang proses sinkronisasi untuk memproyeksikan mahasiswa yang dapat mendaftar Yudisium maksimal tanggal 11 Januari 2022 untuk penentuan ditagihkan atau tidaknya UKT di Semester Genap 2021/2022"
"Akademik ; Pendaftaran Yudisium Filkom UB","Terimakasih telah menghubungi Halo Filkom, <br />Berikut kami kirimkan link prosedur pendaftaran yudisium Filkom :<br /><a href=""https://filkom.ub.ac.id/pendidikan/prosedur-pelayanan-akademik/yudisium/"">https://filkom.ub.ac.id/pendidikan/prosedur-pelayanan-akademik/yudisium/</a> Terimakasih"
"Akademik; Toefl","Terimakasih telah menghubungi halo filkom,<br />Silahkan bisa menyesuaikan dengan link berikut <a href=""https://blc.ub.ac.id/"" target=""_blank"">https://blc.ub.ac.id/</a> Terimakasih"
"Keuangan: Permasalahan sibaku","Terkait dengan permasalahan pada sistem Informasi Sibaku silahkan sampaikan pada <a href=""https://helpdesk-tik.ub.ac.id/"">https://helpdesk-tik.ub.ac.id/</a> dikarenakan sistem tersebut sepenuhnya di operasikan oleh Universitas."
"Akademik ; Perkuliahan Hybrid","Terimakasih telah menghubungi halo filkom,<br />Berikut kami kirimkan pengumuman universitas dan fakultas :<br /><a href=""https://filkom.ub.ac.id/2022/01/19/perkuliahan-semester-genap-tahun-akademik-2021-2022-di-fakultas-ilmu-komputer-universitas-brawijaya/"">https://filkom.ub.ac.id/2022/01/19/perkuliahan-semester-genap-tahun-akademik-2021-2022-di-fakultas-ilmu-komputer-universitas-brawijaya/</a><br />pendataan fakultas : <a href=""https://filkom.ub.ac.id/2022/01/21/pengumuman-pendataan-mahasiswa-mengikuti-perkuliahan-tatap-muka/"">https://filkom.ub.ac.id/2022/01/21/pengumuman-pendataan-mahasiswa-mengikuti-perkuliahan-tatap-muka/</a><br />Mahasiswa jika tidak mengisi maka dianggap menyetujui perkuliahan Daring bukan Luring Terimakasih"
"Akademik ; Mahasiswa Kritis sudah Ujian - status DO","Terimakasih telah menghubungi halo filkom,<br />Status DO (mahasiswa kritis) saat ini dikarenakan belum mendaftar yudisium dan masa studi telah habis, akan kami bantu untuk pengajuan perubahan ke pusat dengan syarat mahasiswa segera mengajukan yudisium sesuai ketentuan yang ada (filkom apps dan SIAM)<br />SK yudisium akan diajukan kepada keuangan oleh bag akademik untuk pembebasan keuangan pada smt berikutnya (jk telah dianggap mendaftar yudisium pada smt sebelumnya) Terimakasih"
"Akademik ; UKT mhs Ujian skripsi belum yudisium (selain kritis)","Terimakasih telah menghubungi halo filkom,<br />Status Anda per hari ini adalah selesai ujian, belum mendaftar yudisium apps, segera lakukan pendaftaran pada filkom apps jika telah selesai revisi.<br />Proses tagihan pada SIAM bagi mahasiswa 2015 yg belum mendaftar yudisium pada waktu yg telah ditentukan diberlakukan sesuai edaran Rektor no 7078 atau 5287.1 yaitu 50%<br />Berikut kami kirimkan link <a href=""https://ub.ac.id/id/edaran-mengenai-kebijakan-uang-kuliah-tunggal/"">https://ub.ac.id/id/edaran-mengenai-kebijakan-uang-kuliah-tunggal/</a><br /> Terimakasih"
"Akademik_Link Data Uji","Terimakasih telah menghubungi halo filkom,<br />Yang dimaksud adalah Link folder drive dari mahasiswa terkait file unggah data pengujian/ perancangan skripsinya, biasanya pada bab 5-6 kondisional tergantung skripsinya juga Terimakasih"
"Akademik ; Batas SKS Beban Mhs","<figure><img src=""cid:x5ntb0nyinevlh1v7auazrqa3zx92oka"" data-image=""X5nTB0Nyinevlh1v7auAzrqA3zx92OkA"" alt=""image"" /></figure>"
"Akademik ; Batas konversi Nilai ke Huruf","<figure><img src=""cid:rnodgycown0bnec82rianm2_ppcajnim"" data-image=""RNoDgYcOWN0BnEc82RIANM2_PpcAjNIM"" alt=""image"" /></figure>"
"Akademik ; Bantuan UKT","Untuk permohonan pengurangan UKT dilakukan melalui satu pintu pada sibaku.ub.ac.id dan dikarenakan sibaku telah ditutup Saudara disilahkan mengajukan pengurangan UKT di semester berikutnya. Sedangkan untuk pengajuan angsuran disilahkan mengajukan permohonan tertulis ditujukan kepada Wakil Dekan II FILKOM UB. Untuk surat permohonan berupa surat pribadi dan tidak ada format khusus. Silahkan diajukan dengan format rapi dan sopan dan dikirim via halofilkom dengan nomor tiket yang sama."
"Akademik ; FAQ Perkuliahan Hybrid Filkom UB","Terimakasih telah menghubungi halo filkom,<br />Berikut kami kirimkan FAQ Perkuliahan Filkom UB<br /><a href=""https://filkom.ub.ac.id/2022/01/24/faq-seputar-penyelenggaraan-perkuliahan-hybrid-filkom-di-semester-genap-2021-2022/"">https://filkom.ub.ac.id/2022/01/24/faq-seputar-penyelenggaraan-perkuliahan-hybrid-filkom-di-semester-genap-2021-2022/</a> Terimakasih"
"Akademik ; Daftar Ulang","Terimakasih telah menghubungi halo filkom,<br />Berikut kami kirimkan Prosedur Daftar Ulang Mahasiswa smt Genap 2021/2022<br /><a href=""https://filkom.ub.ac.id/2022/01/20/prosedur-daftar-ulang-mahasiswa-semester-genap-ta-2021-2022-filkom-ub/""><br />https://filkom.ub.ac.id/2022/01/20/prosedur-daftar-ulang-mahasiswa-semester-genap-ta-2021-2022-filkom-ub/</a> Terimakasih"
"Akademik ; Permohonan perpanjangan mahasiswa DO diluar skripsi","Sesuai arahan dari Wakil Dekan Bidang Akademik, mahasiswa bisa mencoba mengisi form berikut serta meminta persetujuan rekomendasi dari KPS<br /> Catatan pada bagian bawah form harap dicermati dengan teliti <ul><li>Surat diisi oleh mahasiswa, dan ditandatangani oleh orang tua, mahasiswa, dan meminta juga tandatangan ketua program studi lalu mengumpulkan melalui Google Form atau dikirimkan ke email <a href=""mailto:filkom@ub.ac.id"" target=""_blank"">filkom@ub.ac.id</a></li><li>File disimpan dengan nama file: perpanjangan-prodi-nim dalam format dokumen atau PDF (Kode Prodi: TIF / TKOM / SI / TI / PTI / ILKOM</li></ul>"
"Akademik ; Perkuiahan Hybrid wajib hadir","Sesuai arahan dari WD1, semua perkuliahan secara dasar ya harus datang dan offline, pandemi yang menjadi dasar untuk tdk luring, akan tetapi jika pandemi mulai bisa dinetralisir maka kewajiban mahasiswa ya harus datang.<br />Kalau masih keberatan maka mahasiswa diminta membuat surat keberatan dan bukti dukung tidak bisa luring Terimakasih"
"Akademik : Pendataan Kelas Penuh","Pendataan kelas penuh : <a href=""https://filkom.ub.ac.id/2022/01/30/pendataan-kelas-penuh-semester-genap-2021-2022/"" target=""_blank"">https://filkom.ub.ac.id/2022/01/30/pendataan-kelas-penuh-semester-genap-2021-2022/</a><br /> Terima Kasih"
"Akademik_Validasi KRS JTIF terlambat","Sesuai arahan pimpinan JTIF, mahasiswa diharap mengajukan ttd kepada dosen PA serta diajukan pada Form di bawah ini.<br />Berikut kami kirimkan pengajuan validasi KRS mahasiswa JTIF yang terlambat<br /><a href=""https://s.ub.ac.id/validasikrsjtifterlambat"">https://s.ub.ac.id/validasikrsjtifterlambat</a> Terimakasih"
"Akademik ; Ijazah","Terimakasih telah menghubungi halo filkom,<br />Progres ijazah bisa diakses di <a href=""https://bit.ly/3rBYWFn"" target=""_blank"">https://bit.ly/3rBYWFn</a> Mekasnisme pengambilan bisa mengisi link berikut <a href=""https://forms.gle/TzvYW6iXW2pRM8Ly7"" target=""_blank"">https://forms.gle/TzvYW6iXW2pRM8Ly7</a> Terimakasih "
"Akademik ; Legalisir Ijazah","Terimakasih telah menghubungi halo filkom,<br />Legalisir ijazah ; <a href=""https://bit.ly/LegalisirFilkom"" target=""_blank"">https://bit.ly/LegalisirFilkom</a> Terimakasih"
"Akademik_List Dosen Minat Skripsi","Berikut kami sampaikan nama dosen sesuai minat yang ada pada FILKOM UB (wajib menggunakan email UB/ student) :<br /><a href=""https://docs.google.com/spreadsheets/d/1JxeWGjL-rG_Cz3VwHNOCHUOCrLBmEpIl/edit?usp=sharing&amp;ouid=110337177431172742636&amp;rtpof=true&amp;sd=true"">https://docs.google.com/spreadsheets/d/1JxeWGjL-rG_Cz3VwHNOCHUOCrLBmEpIl/edit?usp=sharing&amp;ouid=110337177431172742636&amp;rtpof=true&amp;sd=true</a> Terimakasih"
"Akademik_Legalisir KHS/ dll DTIF","Terimakasih telah menghubungi halo filkom,<br /> Berikut kami kirimkan link layanan akademik legalisir DTIF FILKOM UB<br /><a href=""https://docs.google.com/forms/d/1xhgJyPQB7OosIU-A2EzqMgfLmu5QJxt6pxj5tBQiBLY/edit"">https://docs.google.com/forms/d/1xhgJyPQB7OosIU-A2EzqMgfLmu5QJxt6pxj5tBQiBLY/edit</a> Terimakasih"
"Akademik; PIN","Terimakasih telah menghubungi halofilkom, Lulusan mulai 28-12-2020 wajib PIN , PIN adalah Penomoran Ijazah Nasional, tahap untuk pengajuan PIN harus dilakukan pelaporan lulus di PDDIKTI, kemudian akan dilakukan pengecekan data antara data di UB dengan di PDDIKTI, sementara belum bisa dilakukan pelaporan data dikarena sedang dilakukan migrasi data PDDIKTI ke server yang baru. Terimakasih"
"Akademik_Tidak bisa mengikuti Perkuliahan Luring/ Hybrid","Terimakasih telah menghubungi halo filkom,<br />Menginfokan terkait perkuliahan yg telah berjalan s.d UTS sekarang, maka jika terdapat mahasiswa dengan kelas non hybrid dan berhalangan untuk mengikuti secara luring dimohon mengisi GForm berikut ini sbg pendataan akademik fakultas s.d jumat 08 04 2022 :<br /><a href=""https://docs.google.com/forms/d/e/1FAIpQLSfN_-ptPujRNgvv9Up9ZnjRp64w8RqeS7_BO4XAhzl95u0HyA/viewform"" target=""_blank"">https://docs.google.com/forms/d/e/1FAIpQLSfN_-ptPujRNgvv9Up9ZnjRp64w8RqeS7_BO4XAhzl95u0HyA/viewform</a> Terimakasih"
"Akademik ; Layanan Akademik"," Terimkasih telah menghubungi halo filkom,<br />Berikut kami kirimkan link layanan akademik filkom UB : <a href=""https://filkom.ub.ac.id/pendidikan/layanan-akademik/"">https://filkom.ub.ac.id/pendidikan/layanan-akademik/</a> Terimakasih "
"Akademik ; Status Wisuda belum valid","Terimakasih telah menghubungi halo filkom,<br />Sesuai prosedur kemahasiswaan Filkom UB, mahasiswa diminta konfirmasi melalui gform pada link berikut <a href=""https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/"" target=""_blank"">https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/</a> Terimakasih"
"Akademik ;  Peminjaman Ijazah","Terimakasih telah menghubungi halofilkom,<br />Berikut kami kirimkan link peminjaman ijazah dari akademik kantor pusat :<a href=""https://ub.ac.id/id/faq/bagaimana-prosedur-peminjaman-ijazah/"" target=""_blank"">https://ub.ac.id/id/faq/bagaimana-prosedur-peminjaman-ijazah/</a> Terimakasih"
"Akademik _ Perubahan Judul Skripsi","Terimakasih telah menghubungi halo filkom,<br />Perubahan Judul skripsi bisa dilakukan pada saat :<br />- sebelum P2 bisa melalui masing masing dosen pembimbing<br />- setelah P2 bisa langsung unggah pada kolom Judul saat akan melakukan pendaftaran Semhas<br />- setelah ujian sidang bisa saat upload dokumen akhir Terimakasih"
"Akademik ; Tidak bisa mengikuti UAS Luring dan Terpadu","Terimakasih telah menghubungi HaloFIlkom, <br />Berdasar arahan panita UAS Filkom 2021-2<br />Prasyarat tidak bisa mengikuti UAS Luring (Informasi ini tidak boleh disebar ke mahasiswa lain) :<br />- Surat Keterangan Sakit dari Rumah Sakit terdekat, atau<br />- Surat Tugas tingkat Fakultas/ Universitas, atau<br />- Surat Keterangan Orangtua beserta alasan (wajib materai) -&gt; jika memungkinkan akan dilaksanakan UAS Daring sesuai jadwal UAS MK tersebut<br />Surat tersebut di atas bisa disampaikan pada ticket ini Terimakasih"
"Akademik; SKL dan transkrip sementara","Terimakasih telah menghubungi halo filkom,<br />- Untuk permintaan SKL dimohon menghubungi WA Center Yudisium sembari kami infokan kepada operator juga<br />- Transkrip <a href=""https://bit.ly/TranskripNilaiFilkom"" target=""_blank"">https://bit.ly/TranskripNilaiFilkom</a> Terimakasih"
"Akademik_Revisi Skripsi","Terimakasih telah menghubungi halofilkom,<br />Mahasiswa pasca Ujian Skripsi bisa memproses :<br />1 Pengajuan ttd dosen pembimbing<br />2 Pengajuan validasi lembar pengesahan pada ketua Departemen melalui link layanan akademik<br />3 Mahasiswa unggah dokumen akhir yg telah divalidasi oleh Ketua Departemen melalui filkom apps (tombol upload dokumen akhir) Terimakasih"
"Keuangan - KIPK","Sampai saat ini kami masih mengikuti Panduan KIP Kuliah dari Kemdikbud yang dapat diakses di tautan berikut <a href=""https://kip-kuliah.kemdikbud.go.id/panduan"" target=""_blank"">https://kip-kuliah.kemdikbud.go.id/panduan</a>. Bahwa saat ini KIP-Kuliah dikhususkan untuk <strong>calon mahasiswa/lulusan SMA sederajat</strong> tahun berjalan atau lulus dua tahun sebelumnya. Tapi terkait hal ini juga sudah kami tanyakan ke rektorat. Data anda sudah kami simpan. Akan kami hubungi jika ada perubahan informasi/ketentuan lebih lanjut.<br /> Terima kasih<br /> <br /> "
"Akademik_layanan kemahasiswaan","Berikut kami sampaikan link layanan kemahasiswaan untuk keperluan tiap poin :<br /><a href=""https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/"">https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/</a> Terimakasih"
"Akademik_Edaran Skripsi","Terimakasih telah menghubungi halo filkom,<br />SIlahkan menyesuaikan dengan edaran fakultas berikut :<br /><a href=""https://drive.google.com/file/d/1qpn3JLt2YWPVdZXcFa3dip792iPFXPxT/view"">https://drive.google.com/file/d/1qpn3JLt2YWPVdZXcFa3dip792iPFXPxT/view</a> (poin D2) dan<br /><a href=""https://filkom.ub.ac.id/2022/06/16/informasi-update-sistem-skripsi-dan-yudisium-fakultas-ilmu-komputer-universitas-brawijaya/"">https://filkom.ub.ac.id/2022/06/16/informasi-update-sistem-skripsi-dan-yudisium-fakultas-ilmu-komputer-universitas-brawijaya/</a> (poin no 3)<br /> Terimakasih"
"Akademik_Pengajuan nilai praktikum","Berikut kami kirimkan link layanan pengajuan nilai praktikum Filkom UB :<br /><a href=""https://docs.google.com/forms/u/3/d/1xQjJhWAdUx0SrE0pvTVKyxifwK4nVx5pUNdewjZHgWk/edit?usp=drive_web"">https://docs.google.com/forms/u/3/d/1xQjJhWAdUx0SrE0pvTVKyxifwK4nVx5pUNdewjZHgWk/edit?usp=drive_web</a> Terimakasih"
"Akademik_KKN 2020","Sosialisasi : <a href=""https://filkom.ub.ac.id/2022/06/23/pengumuman-jadwal-sosialisasi-danpembekalan-kkn-secara-luring-tahun-2022/"" target=""_blank"">https://filkom.ub.ac.id/2022/06/23/pengumuman-jadwal-sosialisasi-danpembekalan-kkn-secara-luring-tahun-2022/</a> Tata tertib : <a href=""https://kkn-filkom.ub.ac.id/article/tata-tertib-pembekalan-kkn-filkom-2022"" target=""_blank"">https://kkn-filkom.ub.ac.id/article/tata-tertib-pembekalan-kkn-filkom-2022</a> Terimakasih"
"Akademik_Pendaftaran seminar hasil/ ujian skripsi FIlkom UB","Terimakasih telah menghubungi halofilkom, Pendaftaran Semhas/ Ujian skripsi FIlkom UB :<br />1 wajib mendaftar pada akun filkom apps masing masing<br />2 wajib submit GForm layanan akademik poin 15 (cek deskripsi Form) perihal semhas <a href=""https://filkom.ub.ac.id/pendidikan/layanan-akademik/"">https://filkom.ub.ac.id/pendidikan/layanan-akademik/</a> Terimakasih"
"Akademik_Nilai PKM - KKN","wa'alaykumussalam<br />Sekedar menginformasikan bahwa nilai Anda adalah B (3.0)<br />Dikarenakan pada semester 2021-2 Anda sudah menempuh 21 sks sedangkan sks MK PKM (KKN) adalah 4 sks, maka Anda bisa entry KRS PKM pada semester berikutnya Terimakasih"
"PSIK : Permasalahan telah diproses (Tiket ditutup)","Tiket kami tutup karena permasalahan telah terselesaikan. Terima kasih telah menghubungi HaloFILKOM"
"Akademik_nilai MBKM belum keluar 2021-2","Selamat Pagi,<br /><br />Bagi mahasiswa yang pada semester genap 2021/2022 lalu juga mengikuti kegiatan MBKM maka nilai IPK yang tertera pada sistem dikti adalah nol. Hal ini dikarenakan Evaluasi Akhir Semester (EAS) belum dilaksanakan sehingga nilai belum bisa diinputkan."
"Akademik_perpanjangan skripsi","Selamat siang<br /> Evaluasi Akhir Semester bagi mahasiswa yang memprogram skripsi adalah sebagai berikut (mengacu pada edaran Dekan No 5582/UN10.F15/PP/2020) : <ol><li>Mahasiswa yang telah melakukan Pendaftaran Seminar Hasil tetapi belum melakukan Seminar Hasil dan Sidang Skripsi maka dapat diberikan perpanjangan secara otomatis pada Semester berikutnya</li><li>Mahasiswa yang telah menyelesaikan Progres P2 (dengan nilai &gt;= 75) maka dapat diberikan perpanjangan 1 semester secara otomatis pada Semester berikutnya, <strong>jika sebelumnya belum mendapatkan perpanjangan</strong></li><li>Mahasiswa yang telah menyelesaikan Progres P1 (dengan nilai &gt;= 75) maka dapat diberikan perpanjangan 1 semester pada Semester berikutnya, <strong>jika mendapatkan persetujuan dari pembimbing skripsi secara manual </strong>(pembimbing memberikan persetujuan melalui FILKOM Apps pada periode Evaluasi Akhir Semester)</li><li>Mahasiswa yang belum menyelesaikan Progres P1 dan atau tidak memenuhi sesuai ketentuan 1 sampai 3 maka dinyatakan Gagal dan harus mengulang proses pengerjaan skripsi dari awal (pra-proposal).</li></ol> Evaluasi Akhir Semester akan dilaksanakan pada batas akhir Semester Aktif Terima kasih"
"Akademik; Perpanjangan Masa Studi Filkom 2022/ 2023 Ganjil","Terimakasih telah menghubungi halofilkom, <br />Mahasiswa bisa segera mengisi GForm perpanjangan berikut :<br /><a href=""https://docs.google.com/forms/d/1ESYZRIjLZJAHMxWCZgJQsiiT0uODi8RM_UVvoqdfVSI/edit"">https://docs.google.com/forms/d/1ESYZRIjLZJAHMxWCZgJQsiiT0uODi8RM_UVvoqdfVSI/</a> Terimakasih"
"Akademik_Alur Pasca Ujian Skripsi","Panduan mahasiswa telah lulus Ujian Skripsi ;<br />1 Mahasiswa melakukan revisi sesuai arahan dari dosen majlis Ujian Skripsi serta permintaan ttd Lembar Pengesahan kpd Pembimbing<br />2 Mahasiswa mengajukan validasi Lembar Pengesahan kpd Departemen melalui link layanan akademik poin no 21<br />(filkom apps&gt;pendidikan&gt;layanan akademik)<br />3 Mahasiswa upload dokumen akhir pada tombol yg tertera pada filkom apps masing masing<br />4 Mahasiswa melakukan pendaftaran yudisium pada filkom apps masing masing<br />5 Mahasiswa konfirmasi ke WA center yudisium (081132007577) jika status filkom apps sudah penjadwalan yudisium agar dimasukkan ke dalam grup WAG yudisium periode yang ada<br />6 Operator yudisium akan konfirmasi terkait draft transkrip kpd mahasiswa (pernyataan mahasiswa) <br />7 Nilai dientry oleh petugas yudisium (mohon konfirmasi ke WA center yudisium secara berkala jika poin no 6 sudah terlaksana)<br />8 Mahasiswa unggah kelengkapan yudisium dan wisuda pada SIAM jika nomor 7 sudah terlaksana Terimakasih"
"Akademik_Mhs Kritis Ujian sblm 21-07-2022 Yudisium","Terimakasih telah menghubungi HaloFilkom,<br />-Bagi mahasiswa kritis (2014 &amp; 2015) yang telah habis masa studi dan telah melaksanakan Ujian Skripsi s.d batas yang telah ditentukan oleh Fakultas pada periode 2021-Genap ini, maka secara otomatis diikutkan peserta Yudisium pada periode SK 2021-Genap menyesuaikan dengan edaran dekan <a href=""https://filkom.ub.ac.id/2022/06/16/informasi-update-sistem-skripsi-dan-yudisium-fakultas-ilmu-komputer-universitas-brawijaya/"">https://filkom.ub.ac.id/2022/06/16/informasi-update-sistem-skripsi-dan-yudisium-fakultas-ilmu-komputer-universitas-brawijaya/</a><br />-Mahasiswa tetap diwajibkan pengajuan pembebasan UKT pada ticket HaloFilkom perihal Keuangan sebagai antisipasi keluarnya tagihan secara mendadak (Jika tagihan by system TIK Pusat (2022-Ganjil) muncul lebih awal saat masa transisi semester, SK Internal Fakultas akan diajukan kepada bagian keuangan untuk pembebasan UKT mhs pada smt berikutnya 2022-Ganjil)<br />-Mahasiswa tetap diwajibkan memproses persyaratan yudisium dan wisuda segera mungkin pada akun filkom apps dan SIAM masing masing untuk membantu proses berikutnya (penerbitan SKL dll)<br />-Mahasiswa yang belum menyelesaikan berkas kelengkapan yudisium (filkom apps &amp; SIAM) tidak bisa menerima berkas SKL maupun Ijazah/ Tranksrip<br /> Terimakasih"
"Akademik_Ujian Skripsi 2021-2 ; Pendaftaran yudisium NON KRITIS 2021-2 (2022-1)","Terimakasih telah menghubungi halofilkom, <br />Bagi mahasiswa yang telah melaksanakan ujian skripsi melebihi tanggal 21 Juli 2022 tidak diakui sebagai pendaftar yudisium periode 2021-Genap (sesuai edaran dekan), untuk progres berikutnya mahasiswa :<br />- Memastikan perihal UKT di periode berikutnya (2022-Ganjil) dengan cara mengisi ticket baru perihal/ help topic : keuangan<br />(angsuran, penundaan, dll)<br />- Set KRS Skripsi pada smt 2022- Ganjil<br />- Segera melakukan pendaftaran yudisium pada Filkom Apps dan SIAM<br /><br />Terimakasih"
"Akademik_templates DTIF","Terimakasih telah menghubungi halofilkom,<br />Berikut kami kirimkan link layanan akademik terkait template DTIF (PKL, Skripsi dll) ; <a href=""https://s.ub.ac.id/templates-jtif""><br />https://s.ub.ac.id/templates-jtif</a> Terimakasih"
"Akademik_Validasi Wisuda Kemahasiswaan (Jurnal, TOEFL, TI)","Mohon mahasiswa bisa mengisi &amp; menyesuaikan dengan GForm Layanan Kemahasiswaan ;<a href=""https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/"">https://filkom.ub.ac.id/kemahasiswaan/layanan-kemahasiswaan/</a> (validasi data wisuda) Terimakasih"
